frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,arm_branch_flip,right,-1
2,velocity_saturation,,0.9999999999999999
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
10,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
12,load_transition,left,SUPPORT->UNLOADING
17,velocity_saturation,,1.0000000000000002
18,velocity_saturation,,1.0000000000000002
19,velocity_saturation,,1.0000000000000002
20,velocity_saturation,,1.0000000000000002
21,velocity_saturation,,1.0000000000000002
22,velocity_saturation,,1.0000000000000002
23,velocity_saturation,,1.0000000000000002
25,velocity_saturation,,0.999998051949127
27,velocity_saturation,,1.0
29,load_transition,right,SUPPORT->UNLOADING
30,load_transition,left,UNLOADING->LOADING
31,velocity_saturation,,1.0
32,velocity_saturation,,1.0
33,load_transition,left,LOADING->SUPPORT
38,velocity_saturation,,1.0
39,velocity_saturation,,0.9999977867315345
40,velocity_saturation,,1.0
41,load_transition,right,UNLOADING->LOADING
41,velocity_saturation,,1.0
42,load_transition,left,SUPPORT->UNLOADING
42,load_transition,right,LOADING->UNLOADING
42,velocity_saturation,,1.0000000000000002
44,velocity_saturation,,1.0000000000000002
45,load_transition,left,UNLOADING->SUPPORT
45,velocity_saturation,,1.0000000000000002
48,load_transition,right,UNLOADING->LOADING
49,load_transition,left,SUPPORT->UNLOADING
51,load_transition,right,LOADING->SUPPORT
54,collision_constraint_activation,,v3_torso_proxy:v3_right_hand_proxy
54,velocity_saturation,,0.9999973315875864
55,velocity_saturation,,0.9999999372848417
56,velocity_saturation,,1.0000000000000002
57,velocity_saturation,,0.9999971539397366
58,velocity_saturation,,1.0
59,velocity_saturation,,1.0000000000000002
60,velocity_saturation,,1.0
62,velocity_saturation,,0.9999998613690546
64,velocity_saturation,,1.0000000000000002
66,load_transition,right,SUPPORT->UNLOADING
67,load_transition,left,UNLOADING->SUPPORT
71,velocity_saturation,,1.0000000000000002
75,velocity_saturation,,1.0000000000000002
79,velocity_saturation,,0.9999993237910167
81,velocity_saturation,,0.999999600041513
82,velocity_saturation,,0.99999834840676
83,velocity_saturation,,1.0000000000000002
84,load_transition,right,UNLOADING->LOADING
85,load_transition,left,SUPPORT->UNLOADING
85,velocity_saturation,,0.9999979754064886
86,velocity_saturation,,1.0000000000000002
